GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Archetype - msd23_krapf_alexandra,at.fhj.msd,Calculator,3,70,0,6,1,19,1,9,1,6
Archetype - msd23_krapf_alexandra,at.fhj.msd,main,48,0,0,0,11,0,3,0,3,0
